COMPANY,GROWTH,DATE,VALUATION,FUNDING,LOCATION,MARKET
Vodafone Ireland Ltd.,-,1997,3300000000,#N/A,Ireland,Telecommunications
PanAmSat,-,1984,3200000000,#N/A,"Wilton, United States",Technology products
VKontakte,11%,2006,3200000000,#N/A,"Saint Petersburg, United States",Social network
Bumble,23%,2014,3100000000,#N/A,"Austin, United States",Social network
Plexus Corp.,11%,1979,3100000000,#N/A,"Oradea, Romania",Technology products
AMC Networks,11%,1980,3000000000,#N/A,"New York City, United States",Broadcast/streaming/video
Moonbug,53%,2018,3000000000,265000000,"London, United Kingdom",Multi-platform
Craigslist,9%,1995,3000000000,13500000,"San Francisco, United States",marketplace
TradingView,58%,2011,3000000000,339000000,"New York City, United States",Data analytics
Miaopai,-,2011,3000000000,775000000,"Beijing, China",Broadcast/streaming/video
Contentful,9%,2013,3000000000,332000000,"Berlin, Germany",Multi-platform
Cincinnati Bell Technology Solutions,-,1994,2900000000,#N/A,"Indianapolis, United States",Technology products
Consolidated Comunications Holdings,-,1894,2900000000,#N/A,"Mattoon, United States",Technology products
Planet Labs,34%,2010,2800000000,634000000,"San Francisco, United States",Technology products
Axis Communications,5%,1984,2800000000,#N/A,"Lund, Sweden",Technology products
NetEase Cloud Music,21%,2013,2800000000,1400000000,"Beijing, China",Music
Sega Sammy Holdings,10%,2004,2800000000,#N/A,"Minato, Japan",Gaming
Cision,-,,2700000000,16300000,"Chicago, United States",Data analytics
Shutterfly,2%,1999,2700000000,50000000,"San Francisco, United States",Social network
Bowlmor AMF,23%,2013,2600000000,450000000,"New York City, United States",Entertainment physical
Shutterstock,17%,2003,2600000000,#N/A,"New York City, United States",Social network
A24,42%,2012,2500000000,225000000,"New York City, United States",Film/TV production
ReKTGlobal,-4%,2016,2500000000,10800000,"New York City, United States",Gaming
Mediaset,2%,1970,2400000000,#N/A,"Milan, Italy",Broadcast/streaming/video
DigitalGlobe,-19%,1992,2400000000,#N/A,"Longmont, United States",Data analytics
Fuji Television,1%,1957,2400000000,#N/A,Japan,Broadcast/streaming/video
Beijing TRS Information Technology,-1%,1993,2300000000,200000,"Beijing, China",Technology products
Institutional Shareholder Services,16%,1985,2300000000,#N/A,"Rockville, United States",Finance
Sandstorm Gold,16%,2008,2300000000,#N/A,"Vancouver, Canada",Finance
New Classics Media,0%,2007,2200000000,#N/A,"Beijing, China",Film/TV production
Endemol Shine Group,-2%,2015,2200000000,#N/A,"Amsterdam, Netherlands",Film/TV production
VNG,25%,2004,2200000000,#N/A,"Saigon, Vietnam",Technology products
Nordic Entertainment Group,-,2018,2100000000,#N/A,"Stockholm, Sweden",Broadcast/streaming/video
Leyard,-3%,1995,2100000000,#N/A,China,Advertising/marketing
Kinepolis Group,6%,1997,2100000000,#N/A,"Ghent, Belgium",Entertainment physical
Spin Master,3%,1994,2100000000,#N/A,Canada,Gaming
Rumble,51%,2013,2100000000,100000000,"Toronto, Canada",rights management and monetization
Extreme Networks,3%,1996,2000000000,17300000,"San Jose, United States",Technology products
Xinchao Media,3%,2007,2000000000,1200000000,"Beijing, China",Technology products
Quora,17%,2009,2000000000,286000000,"Mountain View, United States",Social network
SmartNews,32%,2012,2000000000,409000000,"Shibuya, Japan",News
NuCom Group,-52%,2018,2000000000,550000000,"Unterföhring, Germany",marketplace
Nikon,-,1917,2000000000,#N/A,"Minato, Japan",Technology products
Thatgamecompany,39%,2012,1900000000,180000000,"Santa Monica, United States",Gaming
Groupe M6,3%,1987,1900000000,#N/A,"Paris, France",Broadcast/streaming/video
Ask.com,-,1996,1900000000,25000000,"Oakland, United States",Search engine
Yelp,4%,2004,1900000000,15000000,"San Francisco, United States",marketplace
Glance,56%,2016,1800000000,390000000,"Bengaluru, India",Multi-platform
Stack Overflow,9%,2008,1800000000,153000000,"New York City, United States",Social network
AppNexus,-28%,2007,1800000000,401000000,"New York City, United States",Advertising/marketing
Mercari,16%,2013,1800000000,117000000,"Minato, Japan",marketplace
WideOpenWest,7%,2001,1700000000,125000000,"Englewood, United States",Technology products
Hyperconnect,5%,2014,1700000000,10600000,"Seoul, South Korea",Social network
Spotter,140%,2019,1700000000,240000000,"Los Angeles, United States",rights management and monetization
Sumo Group plc,32%,2017,1700000000,#N/A,"Sheffield, United Kingdom",Film/TV production
Zhejiang Daily Digital Culture Group,-,1992,1700000000,#N/A,"Changzhou, China",News
Youtube,20%,2005,1700000000,11500000,"Mountain View, United States",Multi-platform
Check24,31%,1999,1700000000,#N/A,"Munich, Germany",marketplace
Weta Digital,-65%,1993,1600000000,#N/A,"Wellington, New Zealand",Film/TV production
DNEG,-,1998,1600000000,#N/A,"London, United Kingdom",Film/TV production
BAMTECH Media,0%,2000,1600000000,1000000000,"New York City, United States",Broadcast/streaming/video
Spansion,-3%,2003,1600000000,#N/A,"Sunnyvale, United States",Technology products
Gannett,13%,1906,1600000000,#N/A,"McLean, United States",Multi-platform
Trader Corporation,-1%,1975,1600000000,#N/A,"Toronto, Canada",News
RCN,-1%,1996,1600000000,#N/A,"Herndon, United States",Technology products
Tabcorp Holdings Limited,-7%,1994,1600000000,#N/A,"Melbourne, Australia",Multi-platform
Avid Technology,0%,1987,1600000000,#N/A,"Cramlington, United Kingdom",Multi-platform
RAI Way,8%,2000,1600000000,#N/A,"Rome, Italy",Technology products
VGI Global Media,-,1995,1600000000,#N/A,"Bangkok, Thailand",Advertising/marketing
Candy Digital,224%,2015,1500000000,100000000,"Braintree, United States",NFTs
Soul APP,12%,2016,1500000000,60000000,"Shanghai, China",Social network
Loom,30%,2016,1500000000,204000000,"San Francisco, United States",Social network
BuzzFeed,2%,2006,1500000000,646000000,"New York City, United States",News
FairPoint Communications,-3%,1991,1500000000,50000000,United States,Technology products
Letgo,13%,2015,1500000000,840000000,"Istanbul, Türkiye",marketplace
Lytx,13%,1998,1500000000,769000000,"San Diego, United States",Technology products
Bona Film Group,-6%,1999,1500000000,408000000,"Beijing, China",Film/TV production
Telia Company,1%,1853,1500000000,#N/A,"Solna kommun, Sweden",Broadcast/streaming/video
Bigo Technology,25%,2014,1500000000,272000000,"Singapore, Singapore",Broadcast/streaming/video
Amagi Media Labs,79%,2008,1500000000,283000000,"New York City, United States",Broadcast/streaming/video
Canal+,12%,1984,1400000000,#N/A,"Issy-les-Moulineaux, France",Broadcast/streaming/video
Accelink Technologies,3%,2001,1400000000,#N/A,"Wuhan, China",Technology products
XING,-9%,2003,1400000000,6300000,"Hamburg, Germany",Social network
MetroCast,-19%,1998,1400000000,#N/A,"Philadelphia, United States",Technology products
OfferUp,-3%,2011,1400000000,381000000,"Bellevue, United States",marketplace
hike,-6%,2012,1400000000,261000000,India,Social network
Epidemic Sound,19%,2009,1400000000,510000000,"Stockholm, Sweden",Music
Ancestry.com,-1%,1983,1300000000,33000000,"Lehi, United States",Social network
Ridi,39%,2008,1300000000,178000000,"Seoul, South Korea",Literature
Taboola,5%,2007,1300000000,445000000,"New York City, United States",Data analytics
Integral Ad Science,4%,2009,1300000000,49800000,"New York City, United States",Advertising/marketing
Sorenson,-,2003,1300000000,#N/A,"Taylorsville, United States",video conferencing
FastForward Networks,-,1998,1300000000,30000000,"San Francisco, United States",Technology products
Internap,-2%,1996,1300000000,20000000,"Atlanta, United States",Technology products
Linktree,17%,2016,1300000000,166000000,"Melbourne, Australia",Consumer app services
IDG Communications Media,15%,1964,1300000000,#N/A,"Munich, Germany",Multi-platform
Financial Times,-,1888,1300000000,#N/A,"London, United Kingdom",News
Huayi Brothers Media Group,-,1994,1300000000,3500000,"Beijing, China",Broadcast/streaming/video
Frame.io,-50%,2014,1300000000,82200000,"New York City, United States",Film/TV production
PRISA,13%,,1300000000,#N/A,"Tres Cantos, Spain",Education
JMGO,-14%,2011,1300000000,277000000,"Shenzhen, China",Technology products
Kuaikan Manhua,23%,2014,1300000000,561000000,"Beijing, China",marketplace
U-NEXT,5%,2009,1200000000,#N/A,"Tokyo, Japan",Broadcast/streaming/video
ACT FIBERNET,10%,2008,1200000000,#N/A,"Bengaluru, India",Technology products
Crunchyroll,108%,2008,1200000000,4900000,"San Francisco, United States",Film/TV production
Bankrate,-14%,1976,1200000000,#N/A,"North Palm Beach, United States",News
Glassdoor,4%,2007,1200000000,205000000,"Mill Valley, United States",Human resources
IRL App,-27%,2017,1200000000,197000000,"San Francisco, United States",Social network
Infront Sports,10%,2003,1200000000,#N/A,Switzerland,sports
Alpha Group,2%,1993,1200000000,#N/A,China,Multi-platform
EchoStar,0%,1980,1200000000,#N/A,"Englewood, United States",Technology products
Bossa Denim,-,1951,1100000000,#N/A,"Adana, Türkiye",marketplace
Coocaa,12%,2006,1100000000,195000000,"Shenzhen, China",marketplace
Net263,-,1999,1100000000,#N/A,"Beijing, China",Telecommunications
Chief,105%,2019,1100000000,140000000,"New York City, United States",Social network
Schibsted Spain,0%,1982,1100000000,#N/A,"Sant Cugat del Vallès, Spain",Multi-platform
TiVo,-4%,1997,1100000000,200000000,United States,Data analytics
Constant Content,-8%,2004,1100000000,#N/A,"Victoria, Canada",marketplace
Internet Brands,2%,1998,1100000000,297000000,"El Segundo, United States",marketplace
Deezer,18%,2006,1100000000,686000000,"Paris, France",Music
Carousell,79%,2012,1100000000,443000000,"North View BizHub, Singapore",Marketplace
Perform Group,-100%,2007,1100000000,#N/A,"London, United Kingdom",Sports
Shentel,3%,1902,1100000000,#N/A,"Edinburg, United States",Technology products
IMAX,15%,1967,1100000000,#N/A,"Mississauga, Canada",Technology products
ChineseAll Digital Publishing,60%,2001,1100000000,5500000,"Beijing, China",Literature
Qinchuan Machine Tool & Tool Group Co,5%,,1100000000,#N/A,"Baoji, China",Technology products
FuboTV,75%,2014,1100000000,151000000,"New York City, United States",Broadcast/streaming/video
Vox Media,11%,2003,1100000000,308000000,"Washington, United States",Broadcast/streaming/video
CEWE,4%,1961,1000000000,#N/A,"Oldenburg, Germany",Photos
Remarkable,50%,2013,1000000000,24000000,"Oslo, Norway",Technology products
Dick Clark Productions,-,1957,1000000000,#N/A,"Santa Monica, United States",Film/TV production
SynaMedia,2%,,1000000000,#N/A,"Staines-upon-Thames, United Kingdom",Film/TV production
Hupu,4%,2004,1000000000,290000000,"Shanghai, China",Broadcast/streaming/video
Luoji Siwei,-3%,2012,1000000000,134000000,"Beijing, China",Education
Cameo,-25%,2017,1000000000,166000000,"Chicago, United States",Consumer app services
Mux,-4%,2015,1000000000,171000000,"San Francisco, United States",Applications and APIs
ONE Championship,-,2011,1000000000,486000000,"Singapore, Singapore",Sports
Jellysmack,47%,2016,1000000000,16000000,"New York City, United States",Social network
Genies,72%,2013,1000000000,255000000,"San Francisco, United States",Consumer app services
NextG Networks,-,2001,1000000000,49800000,"Milpitas, United States",Technology products
MovieBook,30%,2009,1000000000,274000000,"Beijing, China",Technology products
Yidian Zixun,10%,2013,1000000000,151000000,"Beijing, China",marketplace
Meero,-2%,2016,1000000000,296000000,"Paris, France",Photos
Asia Innovations,27%,2004,1000000000,#N/A,"Beijing, China",Applications and APIs
Instagram,21%,2010,1000000000,58000000,"Menlo Park, United States",Social network
SeatGeek,22%,2009,1000000000,341000000,"New York City, United States",marketplace
Kik,-3%,2009,1000000000,120000000,"Waterloo, Canada",Social network
Kabam,-100%,2006,1000000000,240000000,"San Francisco, United States",Gaming
Politico,-,2007,1000000000,#N/A,"Arlington, United States",News
PicsArt,18%,2011,1000000000,195000000,"San Francisco, United States",Design software
Newsela,4%,2013,1000000000,172000000,"New York City, United States",News
ivi.ru Media,-11%,2010,1000000000,358000000,"Moscow, Russia",Broadcast/streaming/video
Juventus Football Club,5%,1897,995000000,#N/A,"Turin, Italy",Sports
Talpa,-13%,2004,990000000,#N/A,"Hilversum, Netherlands",Multi-platform
Urban One,49%,1980,989000000,#N/A,"Lanham, United States",Radio
Bonnier Broadcasting,-17%,2016,979000000,#N/A,"Stockholm, Sweden",Broadcast/streaming/video
Twitch,12%,2007,970000000,35000000,"San Francisco, United States",Gaming
Meitu,7%,2008,959000000,360000000,"Xiamen, China",Applications and APIs
Dr. Peng Telecom Media Group,-5%,1985,941000000,#N/A,"Beijing, China",Technology products
Alisports,-8%,2015,935000000,165000000,"Shanghai, China",Sports
Visual China Group,-12%,2000,935000000,#N/A,"Beijing, China",Photos
Oxygen Media,-5%,1998,925000000,100000000,"New York City, United States",Broadcast/streaming/video
Envato,1%,2006,925000000,#N/A,"Melbourne, Australia",marketplace
QA,10%,1985,924000000,#N/A,"London, United Kingdom",Education
Vimeo,17%,2004,923000000,450000000,"New York City, United States",Multi-platform
MangoTV,9%,2006,912000000,390000000,China,Broadcast/streaming/video
Game Show Network,-,1994,904000000,#N/A,"Los Angeles, United States",Broadcast/streaming/video
OpenSpace,76%,2017,902000000,199000000,"San Francisco, United States",Photos
Viber,15%,2010,900000000,#N/A,United States,Social network
Matrox,5%,1976,875000000,#N/A,"Montreal, Canada",Design software
Clas Ohlson,1%,1918,856000000,#N/A,United States,marketplace
Mediaset (Pay-TV arm),-,2005,850000000,#N/A,Italy,Broadcast/streaming/video
Poshmark,20%,2011,840000000,153000000,"Redwood City, United States",marketplace
Moonpig.com,10%,1999,832000000,#N/A,"London, United Kingdom",Design software
Tudou,-23%,2005,822000000,309000000,"Shanghai, China",Social network
GoPro,9%,2003,819000000,288000000,"San Mateo, United States",Technology products
Cinema City International,-1%,1929,818000000,#N/A,"Rotterdam, Netherlands",Entertainment physical
Wasu Media Holding,2%,2012,814000000,#N/A,"Changzhou, China",Broadcast/streaming/video
China South Publishing & Media Group Co.,7%,2008,813000000,#N/A,"Xianglong Subdistrict, China",printing
Océ,-3%,1877,803000000,#N/A,"Venlo, Netherlands",Photos
Mars Cinema Group,-6%,2001,800000000,#N/A,Türkiye,Entertainment physical
LiveKindly Co.,-63%,2017,800000000,536000000,"Los Angeles, United States",marketplace
Sensors Data,0%,2015,800000000,278000000,"Beijing, China",marketplace
Musical.ly,82%,2014,800000000,116000000,"San Francisco, United States",Music
Minted,-7%,2007,800000000,297000000,"San Francisco, United States",Photos
Qwilt,26%,2010,800000000,135000000,"Redwood City, United States",Technology products
55tuan,-4%,2010,800000000,200000000,"Beijing, China",marketplace
deltatre,-2%,1986,800000000,#N/A,"Turin, Italy",Sports
Fotolia,-7%,2005,800000000,#N/A,"New York City, United States",Marketplace
Fyffes,6%,1888,798000000,#N/A,"Dublin, Ireland",Film/TV production
America Cash Advance Centers.,0%,1997,780000000,#N/A,"Spartanburg, United States",Finance
Multimedia Polska,-2%,1991,760000000,#N/A,"Gdynia, Poland",Broadcast/streaming/video
FunCorp,-2%,2004,750000000,#N/A,"Limassol Municipality, Cyprus",Applications and APIs
Firework,48%,2017,750000000,270000000,"Redwood City, United States",Applications and APIs
Flipboard,-8%,2010,750000000,236000000,"Palo Alto, United States",News
QuinStreet,12%,1999,745000000,#N/A,"Foster City, United States",Advertising/marketing
Rentrak Corporation,-3%,1985,732000000,#N/A,"Portland, United States",Advertising/marketing
Evertz,9%,1967,722000000,#N/A,"Burlington, Canada",Technology products
MuckRack,-,2009,720000000,180000000,United States,marketplace
Liepin,-9%,2006,716000000,170000000,"Beijing, China",Human resources
TX Group,5%,1893,#N/A,#N/A,"Zurich, Switzerland",Technology products
Dayu Water-saving Group,25%,1999,705000000,#N/A,"Tianjin, China",Technology products
Doodles,32%,2021,704000000,54000000,"Vancouver, Canada",NFTs
MRC Entertainment,-9%,1991,700000000,175000000,"Beverly Hills, United States",Technology products
Tower Holdings,-,1989,700000000,#N/A,"Chicago, United States",Multi-platform
Jam City,7%,2009,700000000,477000000,"Culver City, United States",Social network
Joshin Denki,-,1950,697000000,#N/A,"Osaka, Japan",Technology products
Howard Publications,0%,2002,694000000,#N/A,United States,News
HIT Entertainment,-4%,1989,680000000,#N/A,"London, United Kingdom",Technology products
Pepcom,-,2001,669000000,#N/A,"Unterföhring, Germany",Technology products
TOM Group,-5%,1999,668000000,#N/A,Hong Kong,Technology products
Aichi Seiko Kabushiki Kaisha,0%,1942,667000000,#N/A,"Tokai-Shi, Japan",Technology products
H&R Century,-,2006,664000000,#N/A,China,Film/TV production
RS Group,21%,1976,652000000,#N/A,"Bangkok, Thailand",Technology products
Substack,83%,2017,650000000,82400000,"San Francisco, United States",Consumer app services
Raksul,13%,2009,650000000,71800000,"Tokyo, Japan",printing
My.Games,17%,2009,642000000,#N/A,"Moscow, Russia",Gaming
Fiera Milano,14%,1920,632000000,#N/A,"Rho, Italy",Technology products
Ceske Radiokomunikace,-2%,1963,631000000,#N/A,"Prague, Czech Republic",Technology products
Forbes,-9%,1917,630000000,400000000,"New York City, United States",News
Chicago Tribune,-5%,1847,630000000,#N/A,"Chicago Heights, United States",News
Consolidated Graphics,-,1985,620000000,#N/A,"Houston, United States",printing
Matterport,10%,2010,616000000,448000000,"Sunnyvale, United States",Entertainment physical
Hotstar,87%,2015,612000000,153000000,"Mumbai, India",Broadcast/streaming/video
TAITO Corporation,2%,1953,610000000,#N/A,"Tokyo, Japan",Gaming
Stingray Digital Group,2%,2007,601000000,#N/A,"Montreal, Canada",Technology products
Outside,1%,2021,600000000,164000000,"Boulder, United States",Sports
Voice,44%,2019,600000000,150000000,"New York City, United States",Social network
BeReal,-,2020,600000000,90000000,"Paris, France",Social network
Tidal Music INC,9%,2014,600000000,#N/A,"New York City, United States",Music
Hyperloop,-4%,2013,600000000,34300000,"Los Angeles, United States",Technology products
Intersection,-4%,2015,600000000,150000000,"New York City, United States",Advertising/marketing
Wattpad,-,2006,600000000,118000000,"Toronto, Canada",Literature
MACRO,45%,2015,600000000,150000000,"Los Angeles, United States",Multi-platform
